,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,南,ベント,レディース,2015.04.22,中,ベント,レディース,2015.04.22,72,4649,67.5,122
恵庭カントリー倶楽部,支笏,ベント,チャンピオン,2018.10.18,阿寒,ベント,チャンピオン,2018.10.18,72,7283,82.0,148
,支笏,ベント,バック,2018.10.18,阿寒,ベント,バック,2018.10.18,72,7047,80.7,144
,支笏,ベント,レギュラー,2018.10.18,阿寒,ベント,レギュラー,2018.10.18,72,6424,77.1,137
,支笏,ベント,フロント,2018.10.18,阿寒,ベント,フロント,2018.10.18,72,5897,74.2,131
,支笏,ベント,レディース,2018.10.18,阿寒,ベント,レディース,2018.10.18,72,5533,72.2,127
,阿寒,ベント,チャンピオン,2018.10.18,摩周,ベント,チャンピオン,2018.10.18,72,7321,81.9,143
,阿寒,ベント,バック,2018.10.18,摩周,ベント,バック,2018.10.18,72,6977,80.0,139
,阿寒,ベント,レギュラー,2018.10.18,摩周,ベント,レギュラー,2018.10.18,72,6406,76.7,133
,阿寒,ベント,フロント,2018.10.18,摩周,ベント,フロント,2018.10.18,72,5855,73.6,126
,阿寒,ベント,レディース,2018.10.18,摩周,ベント,レディース,2018.10.18,72,5411,71.2,121
,摩周,ベント,チャンピオン,2018.10.18,支笏,ベント,チャンピオン,2018.10.18,72,7178,81.3,145
,摩周,ベント,バック,2018.10.18,支笏,ベント,バック,2018.10.18,72,6938,79.9,142
,摩周,ベント,レギュラー,2018.10.18,支笏,ベント,レギュラー,2018.10.18,72,6422,77.0,136
,摩周,ベント,フロント,2018.10.18,支笏,ベント,フロント,2018.10.18,72,5990,74.6,131
,摩周,ベント,レディース,2018.10.18,支笏,ベント,レディース,2018.10.18,72,5554,72.2,126
エバーグリーンゴルフ倶楽部,アウト,ベント,バック,2015.10.28,イン,ベント,バック,2015.10.28,72,6740,78.4,143
,アウト,ベント,レギュラー,2015.10.28,イン,ベント,レギュラー,2015.10.28,72,6364,76.4,138
,アウト,ベント,フロント,2015.10.28,イン,ベント,フロント,2015.10.28,72,5969,74.2,134
,アウト,ベント,ゴールド,2015.10.28,イン,ベント,ゴールド,2015.10.28,72,5574,72.0,129
,アウト,ベント,オレンジ,2015.10.28,イン,ベント,オレンジ,2015.10.28,72,5385,70.9,127
,アウト,ベント,エバー,2020.09.04,イン,ベント,エバー,2020.09.04,72,4559,66.3,118
エミナゴルフクラブ,東アウト,ベント,バック,2019.10.21,東イン,ベント,バック,2019.10.21,72,7051,81.1,147
,東アウト,ベント,レギュラー,2019.10.21,東イン,ベント,レギュラー,2019.10.21,72,6426,77.6,139
,東アウト,ベント,フロント,2019.10.21,東イン,ベント,フロント,2019.10.21,72,5903,74.7,133
,南アウト,ベント,バック,2019.10.17,南イン,ベント,バック,2019.10.17,72,6852,79.2,142
,南アウト,ベント,レギュラー,2019.10.17,南イン,ベント,レギュラー,2019.10.17,72,6344,76.4,136
,南アウト,ベント,フロント,2019.10.17,南イン,ベント,フロント,2019.10.17,72,5757,73.1,129
,西アウト,ベント,バック,2019.11.06,西イン,ベント,バック,2019.11.06,72,6877,79.7,140
,西アウト,ベント,レギュラー,2019.11.06,西イン,ベント,レギュラー,2019.11.06,72,6503,77.6,136
,西アウト,ベント,フロント,2019.11.06,西イン,ベント,フロント,2019.11.06,72,6161,75.8,131
,西アウト,ベント,レディース,2019.11.06,西イン,ベント,レディース,2019.11.06,72,5187,70.3,120
エムアール茨戸カントリークラブ,アウト,ベント,バック,2020.06.23,イン,ベント,バック,2020.06.23,72,6817,79.0,141
,アウト,ベント,レギュラー,2020.06.23,イン,ベント,レギュラー,2020.06.23,72,6356,76.5,136
,アウト,ベント,フロント,2020.06.23,イン,ベント,フロント,2020.06.23,72,5708,72.9,128
,アウト,ベント,レディース,2020.06.23,イン,ベント,レディース,2020.06.23,72,5329,70.8,124
エムズゴルフクラブ,アウト,ベント,バック,2016.09.23,イン,ベント,バック,2016.09.23,72,6929,79.7,143
,アウト,ベント,レギュラー,2016.09.23,イン,ベント,レギュラー,2016.09.23,72,6481,77.2,138
,アウト,ベント,フロント,2016.09.23,イン,ベント,フロント,2016.09.23,72,6030,74.7,133
,アウト,ベント,レディース,2016.09.23,イン,ベント,レディース,2016.09.23,72,5183,70.0,123
エーヴランドゴルフクラブ,アウト,ベント,バック,2017.06.14,イン,ベント,バック,2017.06.14,72,6955,80.3,142
,アウト,ベント,レギュラー1,2017.06.14,イン,ベント,レギュラー1,2017.06.14,72,6455,77.5,136
,アウト,ベント,レディース,2017.06.14,イン,ベント,レディース,2017.06.14,72,5251,70.8,124
大沼国際カントリークラブ,アウト,ベント,バック,2015.05.23,イン,ベント,バック,2015.05.23,72,7130,81.2,148
,アウト,ベント,レギュラー,2015.05.23,イン,ベント,レギュラー,2015.05.23,72,6710,78.9,144
,アウト,ベント,フロント,2015.05.23,イン,ベント,フロント,2015.05.23,72,6549,78.0,142
,アウト,ベント,レディース,2015.05.23,イン,ベント,レディース,2015.05.23,72,5643,72.9,131
大沼レイクゴルフクラブ,大沼,ベント,バック,2014.05.23,小沼,ベント,バック,2014.05.23,72,7000,80.9,147
,大沼,ベント,レギュラー,2014.05.23,小沼,ベント,レギュラー,2014.05.23,72,6577,78.6,142
,大沼,ベント,フロント,2014.05.23,小沼,ベント,フロント,2014.05.23,72,5999,75.3,135
,大沼,ベント,レディース,2014.05.23,小沼,ベント,レディース,2014.05.23,72,5380,71.9,128
,小沼,ベント,バック,2014.05.23,駒ケ岳,ベント,バック,2014.05.23,72,7011,80.8,148
,小沼,ベント,レギュラー,2014.05.23,駒ケ岳,ベント,レギュラー,2014.05.23,72,6512,78.1,142
,小沼,ベント,フロント,2014.05.23,駒ケ岳,ベント,フロント,2014.05.23,72,5861,74.4,134
,小沼,ベント,レディース,2014.05.23,駒ケ岳,ベント,レディース,2014.05.23,72,5218,70.8,127
,駒ケ岳,ベント,バック,2014.05.23,大沼,ベント,バック,2014.05.23,72,6789,79.5,144
,駒ケ岳,ベント,レギュラー,2014.05.23,大沼,ベント,レギュラー,2014.05.23,72,6347,77.1,139
,駒ケ岳,ベント,フロント,2014.05.23,大沼,ベント,フロント,2014.05.23,72,5750,73.7,132
,駒ケ岳,ベント,レディース,2014.05.23,大沼,ベント,レディース,2014.05.23,72,5246,70.9,126
小樽カントリー倶楽部,新アウト,ベント,チャンピオン,2017.10.27,新イン,ベント(右),チャンピオン,2017.10.27,72,7467,83.4,153
,新アウト,ベント,バック,2017.10.27,新イン,ベント(右),バック,2017.10.27,72,6946,80.4,147
,新アウト,ベント,レギュラー,2017.10.27,新イン,ベント(右),レギュラー,2017.10.27,72,6526,78.1,142
,新アウト,ベント,フロント,2017.10.27,新イン,ベント(右),フロント,2017.10.27,72,6174,76.2,138
,新アウト,ベント,チャンピオン,2017.10.27,新イン,ベント(左),チャンピオン,2017.10.27,72,7427,83.2,153
,新アウト,ベント,バック,2017.10.27,新イン,ベント(左),バック,2017.10.27,72,6908,80.3,147
,新アウト,ベント,レギュラー,2017.10.27,新イン,ベント(左),レギュラー,2017.10.27,72,6487,77.9,142
,新アウト,ベント,フロント,2017.10.27,新イン,ベント(左),フロント,2017.10.27,72,6135,76.0,138
,旧アウト,ベント,レギュラー,2021.05.07,旧イン,ベント,レギュラー,2021.05.07,72,6232,76.6,138
帯広カントリークラブ(新嵐山コース),アウト,ベント,バック,2014.05.22,イン,ベント,バック,2014.05.22,72,6910,80.1,145
,アウト,ベント,レギュラー,2014.05.22,イン,ベント,レギュラー,2014.05.22,72,6420,77.4,138
,アウト,ベント,フロント,2014.05.22,イン,ベント,フロント,2014.05.22,72,6090,75.6,135
,アウト,ベント,レディース/ゴールド,2014.05.22,イン,ベント,レディース/ゴールド,2014.05.22,72,5260,71.0,125
帯広国際カントリークラブ,東,ベント,バック,2013.05.24,中,ベント,バック,2013.05.24,72,6877,79.8,147
,東,ベント,レギュラー,2013.05.24,中,ベント,レギュラー,2013.05.24,72,6430,77.3,142
,東,ベント,レディース,2013.05.24,中,ベント,レディース,2013.05.24,72,5758,73.5,134
,中,ベント,バック,2013.05.24,西,ベント,バック,2013.05.24,72,6467,77.8,146
,中,ベント,レギュラー,2013.05.24,西,ベント,レギュラー,2013.05.24,72,6124,75.9,142
,中,ベント,レディース,2013.05.24,西,ベント,レディース,2013.05.24,72,5542,72.6,135
,西,ベント,バック,2013.05.24,東,ベント,バック,2013.05.24,72,6654,78.8,148
,西,ベント,レギュラー,2013.05.24,東,ベント,レギュラー,2013.05.24,72,6262,76.6,143
,西,ベント,レディース,2013.05.24,東,ベント,レディース,2013.05.24,72,5504,72.3,134
帯広白樺カントリークラブ,桜アウト,ベント,Back,2015.08.29,桜イン,ベント,Back,2015.08.29,72,6764,79.1,138
,桜アウト,ベント,Regular,2015.08.29,桜イン,ベント,Regular,2015.08.29,72,6320,76.7,134
,桜アウト,ベント,Senior,2015.08.29,桜イン,ベント,Senior,2015.08.29,72,6052,75.2,131
,桜アウト,ベント,Ladies,2015.08.29,桜イン,ベント,Ladies,2015.08.29,72,5473,72.0,124
,桜ミックス(旧),ベント,Back,2015.08.29,白樺アウト,ベント,Back,2015.08.29,72,6751,79.1,141
,桜ミックス(旧),ベント,Regular,2015.08.29,白樺アウト,ベント,Regular,2015.08.29,72,6262,76.4,136
,桜ミックス(旧),ベント,Senior,2015.08.29,白樺アウト,ベント,Senior,2015.08.29,72,5860,74.2,131
,桜ミックス(旧),ベント,Ladies,2015.08.29,白樺アウト,ベント,Ladies,2015.08.29,72,5460,72.0,126
,桜ミックス(旧),ベント,Back,2015.08.29,白樺イン,ベント,Back,2015.08.29,72,6511,77.7,139
,桜ミックス(旧),ベント,Regular,2015.08.29,白樺イン,ベント,Regular,2015.08.29,72,6097,75.4,134
,桜ミックス(旧),ベント,Senior,2015.08.29,白樺イン,ベント,Senior,2015.08.29,72,5806,73.8,130
,桜ミックス(旧),ベント,Ladies,2015.08.29,白樺イン,ベント,Ladies,2015.08.29,72,5391,71.5,126
,白樺アウト,ベント,Back,2015.08.29,白樺イン,ベント,Back,2015.08.29,72,6332,76.8,138
,白樺アウト,ベント,Regular,2015.08.29,白樺イン,ベント,Regular,2015.08.29,72,5919,74.6,133
,白樺アウト,ベント,Senior,2015.08.29,白樺イン,ベント,Senior,2015.08.29,72,5722,73.2,132
,白樺アウト,ベント,Ladies,2015.08.29,白樺イン,ベント,Ladies,2015.08.29,72,5237,70.7,126
オホーツクカントリークラブ,アウト,ベント,バック,2015.05.29,イン,ベント,バック,2015.05.29,71,6598,79.0,134
,アウト,ベント,レギュラー,2015.05.29,イン,ベント,レギュラー,2015.05.29,71,6115,76.3,129
,アウト,ベント,フロント1,2015.05.29,イン,ベント,フロント1,2015.05.29,71,5751,74.3,125
温根湯国際カントリークラブ,アウト,ベント,バック,2015.04.27,イン,ベント,バック,2015.04.27,72,6921,79.8,143
,アウト,ベント,レギュラー,2015.04.27,イン,ベント,レギュラー,2015.04.27,72,6391,76.9,136
,アウト,ベント,フロント,2015.04.27,イン,ベント,フロント,2015.04.27,72,6208,75.8,133
,アウト,ベント,レディース,2015.04.27,イン,ベント,レディース,2015.04.27,72,5101,69.7,121
桂ゴルフ倶楽部,アウト,ベント,チャンピオン,2016.08.03,イン,ベント,チャンピオン,2016.08.03,72,7116,81.7,150
,アウト,ベント,バック,2016.08.03,イン,ベント,バック,2016.08.03,72,6495,78.3,144
,アウト,ベント,レギュラー,2016.08.03,イン,ベント,レギュラー,2016.08.03,72,6093,76.0,139
,アウト,ベント,フロント,2016.08.03,イン,ベント,フロント,2016.08.03,72,5642,73.5,132
,アウト,ベント,レディース,2016.08.03,イン,ベント,レディース,2016.08.03,72,5367,72.0,130
上士幌ゴルフ場,チャンピオンズ・OUT,ベント,ブルー,2014.07.14,チャンピオンズ・IN,ベント,ブルー,2014.07.14,72,6919,80.6,150
,チャンピオンズ・OUT,ベント,オレンジ,2014.07.14,チャンピオンズ・IN,ベント,オレンジ,2014.07.14,72,6538,78.4,145
,チャンピオンズ・OUT,ベント,ホワイト,2014.07.14,チャンピオンズ・IN,ベント,ホワイト,2014.07.14,72,6138,76.2,141
,チャンピオンズ・OUT,ベント,レッド,2014.07.14,チャンピオンズ・IN,ベント,レッド,2014.07.14,72,5206,71.0,131
,マスターズ・OUT,ベント,ブルー,2015.03.09,マスターズ・IN,ベント,ブルー,2015.03.09,72,6567,77.7,146
,マスターズ・OUT,ベント,オレンジ,2015.03.09,マスターズ・IN,ベント,オレンジ,2015.03.09,72,6152,75.4,141
,マスターズ・OUT,ベント,ホワイト,2015.03.09,マスターズ・IN,ベント,ホワイト,2015.03.09,72,5815,73.5,137
,マスターズ・OUT,ベント,レッド,2015.03.09,マスターズ・IN,ベント,レッド,2015.03.09,72,4970,68.7,128
上湧別リバーサイドゴルフ場,アウト,ベント,バック,2014.08.30,イン,ベント,バック,2014.08.30,72,6906,79.5,144
,アウト,ベント,レギュラー,2014.08.30,イン,ベント,レギュラー,2014.08.30,72,6576,77.6,140
,アウト,ベント,フロント1,2014.08.30,イン,ベント,フロント1,2014.08.30,72,6215,75.6,136
,アウト,ベント,フロント2,2014.08.30,イン,ベント,フロント2,2014.08.30,72,5453,71.3,127
北見カントリークラブ,アウト,ベント,バック,2012.05.19,イン,ベント,バック,2012.05.19,72,6536,78.5,138
,アウト,ベント,レギュラー,2012.05.19,イン,ベント,レギュラー,2012.05.19,72,6179,76.5,134
,アウト,ベント,フロント,2012.05.19,イン,ベント,フロント,2012.05.19,72,5140,70.7,122
北見ハーブヒルゴルフクラブ,アウト,ベント,バック,2012.05.18,イン,ベント,バック,2012.05.18,72,6719,79.2,136
,アウト,ベント,レギュラー1,2012.05.18,イン,ベント,レギュラー1,2012.05.18,72,6230,76.5,131
,アウト,ベント,レギュラー2,2012.05.18,イン,ベント,レギュラー2,2012.05.18,72,6134,76.0,130
,アウト,ベント,レディース,2012.05.18,イン,ベント,レディース,2012.05.18,72,5480,72.4,122
釧路カントリークラブ,鶴居西アウト,ベント,レギュラー,2013.08.29,鶴居西イン,ベント,レギュラー,2013.08.29,72,6573,78.4,140
,鶴居西アウト,ベント,フロント1,2013.08.29,鶴居西イン,ベント,フロント1,2013.08.29,72,5857,74.4,132
,鶴居東アウト,ベント,レギュラー,2013.09.23,鶴居東イン,ベント,レギュラー,2013.09.23,72,6527,77.8,139
,鶴居東アウト,ベント,フロント1,2013.09.23,鶴居東イン,ベント,フロント1,2013.09.23,72,5631,72.8,129
,鶴居東アウト,ベント,フロント2,2013.09.23,鶴居東イン,ベント,フロント2,2013.09.23,72,5203,70.4,124
釧路風林カントリークラブ,A(信玄),ベント,バック,2014.05.24,B(川中島),ベント,バック,2014.05.24,72,6619,78.8,138
,A(信玄),ベント,レギュラー,2014.05.24,B(川中島),ベント,レギュラー,2014.05.24,72,6313,77.1,134
,A(信玄),ベント,フロント・ゴールド,2014.05.24,B(川中島),ベント,フロント・ゴールド,2014.05.24,72,5596,73.1,126
,A(信玄),ベント,ピンク,2014.05.24,B(川中島),ベント,ピンク,2014.05.24,72,5134,70.5,120
,B(川中島),ベント,バック,2014.05.24,C(謙信),ベント,バック,2014.05.24,72,6721,78.9,140
,B(川中島),ベント,レギュラー,2014.05.24,C(謙信),ベント,レギュラー,2014.05.24,72,6386,77.1,135
,B(川中島),ベント,フロント・ゴールド,2014.05.24,C(謙信),ベント,フロント・ゴールド,2014.05.24,72,5667,73.1,127
,B(川中島),ベント,ピンク,2014.05.24,C(謙信),ベント,ピンク,2014.05.24,72,5210,70.6,122
,C(謙信),ベント,バック,2014.05.24,A(信玄),ベント,バック,2014.05.24,72,6804,79.1,139
,C(謙信),ベント,レギュラー,2014.05.24,A(信玄),ベント,レギュラー,2014.05.24,72,6433,77.0,134
,C(謙信),ベント,フロント・ゴールド,2014.05.24,A(信玄),ベント,フロント・ゴールド,2014.05.24,72,5709,73.0,126
,C(謙信),ベント,ピンク,2014.05.24,A(信玄),ベント,ピンク,2014.05.24,72,5264,70.5,121
クラークカントリークラブ,西,ベント,バック,2021.09.29,東,ベント,バック,2021.09.29,72,6949,81.7,145
,西,ベント,レギュラー,2021.09.29,東,ベント,レギュラー,2021.09.29,72,6584,79.7,141
,西,ベント,フロント,2021.09.29,東,ベント,フロント,2021.09.29,72,5991,76.4,134
,東,ベント,バック,2021.09.29,中,ベント,バック,2021.09.29,72,6778,80.3,146
,東,ベント,レギュラー,2021.09.29,中,ベント,レギュラー,2021.09.29,72,6442,78.5,142
,東,ベント,フロント,2021.09.29,中,ベント,フロント,2021.09.29,72,5915,75.5,136
,中,ベント,バック,2021.09.29,西,ベント,バック,2021.09.29,72,6749,80.2,146
,中,ベント,レギュラー,2021.09.29,西,ベント,レギュラー,2021.09.29,72,6414,78.4,142
,中,ベント,フロント,2021.09.29,西,ベント,フロント,2021.09.29,72,5856,75.3,135
グリーンスコーレカントリー倶楽部,アウト,ベント,フロント,1997.07.04,イン,ベント,フロント,1997.07.04,72,5280,69.7,115
グレート旭川カントリー倶楽部,アウト,ベント,チャンピオン,2020.09.07,イン,ベント,チャンピオン,2020.09.07,72,6975,80.5,146
,アウト,ベント,バック,2020.09.07,イン,ベント,バック,2020.09.07,72,6553,78.1,142
,アウト,ベント,レギュラー,2020.09.07,イン,ベント,レギュラー,2020.09.07,72,6127,75.8,136
,アウト,ベント,シルバー,2020.09.07,イン,ベント,シルバー,2020.09.07,72,5283,71.1,126
,アウト,ベント,レディース,2020.09.07,イン,ベント,レディース,2020.09.07,72,4723,68.0,120
グレート札幌カントリー倶楽部,アウト,ベント,バック,2016.10.13,イン,ベント,バック,2016.10.13,72,6850,79.0,143
,アウト,ベント,レギュラー,2016.10.13,イン,ベント,レギュラー,2016.10.13,72,6520,77.2,139
,アウト,ベント,フロント,2016.10.13,イン,ベント,フロント,2016.10.13,72,6078,74.7,134
,アウト,ベント,レディース,2016.10.13,イン,ベント,レディース,2016.10.13,72,5526,71.6,127
コート旭川カントリークラブ,アウト,ベント,バック,2013.08.31,イン,ベント,バック,2013.08.31,72,6848,79.6,143
,アウト,ベント,レギュラー,2013.08.31,イン,ベント,レギュラー,2013.08.31,72,6375,76.9,137
,アウト,ベント,フロント1,2013.08.31,イン,ベント,フロント1,2013.08.31,72,6070,75.2,134
,アウト,ベント,フロント2,2013.08.31,イン,ベント,フロント2,2013.08.31,72,5390,71.4,126
御前水ゴルフ倶楽部,Aアウト,ベント,チャンピオン,2020.05.11,Aイン,ベント,チャンピオン,2020.05.11,72,7013,80.2,145
,Aアウト,ベント,バック,2020.05.11,Aイン,ベント,バック,2020.05.11,72,6753,78.8,142
,Aアウト,ベント,レギュラー,2020.05.11,Aイン,ベント,レギュラー,2020.05.11,72,6432,77.0,138
,Aアウト,ベント,フロント,2020.05.11,Aイン,ベント,フロント,2020.05.11,72,6101,75.1,134
,Aアウト,ベント,レディース,2020.05.11,Aイン,ベント,レディース,2020.05.11,72,5483,71.7,127
,Aアウト,ベント,レディース2,2020.05.11,Aイン,ベント,レディース2,2020.05.11,72,5171,70.0,123
,Bアウト,ベント,チャンピオン,2020.05.11,Bイン,ベント,チャンピオン,2020.05.11,72,7013,80.2,145
,Bアウト,ベント,バック,2020.05.11,Bイン,ベント,バック,2020.05.11,72,6505,77.2,139
,Bアウト,ベント,レギュラー,2020.05.11,Bイン,ベント,レギュラー,2020.05.11,72,6192,75.5,135
,Bアウト,ベント,フロント,2020.05.11,Bイン,ベント,フロント,2020.05.11,72,5878,73.8,132
,Bアウト,ベント,レディース,2020.05.11,Bイン,ベント,レディース,2020.05.11,72,5490,71.7,127
,Bアウト,ベント,レディース2,2020.05.11,Bイン,ベント,レディース2,2020.05.11,72,5178,70.0,123
ゴルフ5カントリー美唄コース,東,ベント,チャンピオン,2021.09.27,中,ベント,チャンピオン,2021.09.27,72,7185,82.3,152
,東,ベント,バック,2021.09.27,中,ベント,バック,2021.09.27,72,6531,78.7,144
,東,ベント,レギュラー,2021.09.27,中,ベント,レギュラー,2021.09.27,72,6028,75.9,139
,東,ベント,フロント,2021.09.27,中,ベント,フロント,2021.09.27,72,5131,70.9,128
,中,ベント,チャンピオン,2021.09.27,西,ベント,チャンピオン,2021.09.27,72,6979,81.4,148
,中,ベント,バック,2021.09.27,西,ベント,バック,2021.09.27,72,6403,78.2,140
,中,ベント,レギュラー,2021.09.27,西,ベント,レギュラー,2021.09.27,72,5965,75.8,136
,中,ベント,フロント,2021.09.27,西,ベント,フロント,2021.09.27,72,5146,71.2,126
,西,ベント,チャンピオン,2021.09.27,東,ベント,チャンピオン,2021.09.27,72,7032,81.3,149
,西,ベント,バック,2021.09.27,東,ベント,バック,2021.09.27,72,6418,77.9,141
,西,ベント,レギュラー,2021.09.27,東,ベント,レギュラー,2021.09.27,72,5901,75.1,136
,西,ベント,フロント,2021.09.27,東,ベント,フロント,2021.09.27,72,5007,70.1,125
札樽ゴルフ倶楽部,アウト,ベント,バック,2018.08.03,イン,ベント,バック,2018.08.03,71,6422,78.2,141
,アウト,ベント,レギュラー,2018.08.03,イン,ベント,レギュラー,2018.08.03,71,6029,76.0,137
,アウト,ベント,フロント,2018.08.03,イン,ベント,フロント,2018.08.03,71,5695,74.2,133
,アウト,ベント,レディース,2018.08.03,イン,ベント,レディース,2018.08.03,71,4374,66.8,117
札幌エルムカントリークラブ,西アウト,ベント(右),チャンピオン,2017.04.24,西イン,ベント(右),チャンピオン,2017.04.24,72,6806,79.0,139
,西アウト,ベント(右),レギュラー,2017.04.24,西イン,ベント(右),レギュラー,2017.04.24,72,6377,76.6,134
,西アウト,ベント(右),フロント,2017.04.24,西イン,ベント(右),フロント,2017.04.24,72,5541,71.9,124
,西アウト,ベント(左),チャンピオン,2017.04.24,西イン,ベント(左),チャンピオン,2017.04.24,72,6790,79.0,138
,西アウト,ベント(左),レギュラー,2017.04.24,西イン,ベント(左),レギュラー,2017.04.24,72,6363,76.6,133
,西アウト,ベント(左),フロント,2017.04.24,西イン,ベント(左),フロント,2017.04.24,72,5522,71.9,123
,東アウト,ベント,チャンピオン,2017.04.25,東イン,ベント,チャンピオン,2017.04.25,72,6755,79.4,142
,東アウト,ベント,レギュラー,2017.04.25,東イン,ベント,レギュラー,2017.04.25,72,6279,76.7,136
,東アウト,ベント,フロント,2017.04.25,東イン,ベント,フロント,2017.04.25,72,5410,71.9,126
札幌ゴルフ倶楽部,輪厚アウト,ベント,チャンピオン,2020.10.28,輪厚イン,ベント,チャンピオン,2020.10.28,72,7063,81.3,148
,輪厚アウト,ベント,レギュラー,2020.10.28,輪厚イン,ベント,レギュラー,2020.10.28,72,6447,78.0,141
,輪厚アウト,ベント,フロント,2020.10.28,輪厚イン,ベント,フロント,2020.10.28,72,6097,76.0,137
,由仁アウト,Aベント,チャンピオン,2020.10.29,由仁イン,Aベント,チャンピオン,2020.10.29,72,7031,81.1,148
,由仁アウト,Aベント,レギュラー,2020.10.29,由仁イン,Aベント,レギュラー,2020.10.29,72,6452,77.9,141
,由仁アウト,Aベント,フロント,2020.10.29,由仁イン,Aベント,フロント,2020.10.29,72,5814,74.4,134
,由仁アウト,Bベント,チャンピオン,2020.10.29,由仁イン,Bベント,チャンピオン,2020.10.29,72,7005,81.2,147
