,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：333yd,Hdcp：7,PAR：4,Reg.：362yd,Hdcp：5,PAR：3,Reg.：160yd,Hdcp：9
1,豪快に打ち下ろしていくミドルホール,豪快に打ち下ろしていくミドルホール,豪快に打ち下ろしていくミドルホール,真っすぐで２打地点から緩やかに打ち上げのミドル,真っすぐで２打地点から緩やかに打ち上げのミドル,真っすぐで２打地点から緩やかに打ち上げのミドル,打ち下ろしのショート　半島の様な所にグリーン有,打ち下ろしのショート　半島の様な所にグリーン有,打ち下ろしのショート　半島の様な所にグリーン有
2,難易度6位/9ホール中 平均スコア5.45 平均パット数1.94 パーオン率21.0% フェアウェイ率46.8% OB率46.8% バンカー率13.0%,難易度6位/9ホール中 平均スコア5.45 平均パット数1.94 パーオン率21.0% フェアウェイ率46.8% OB率46.8% バンカー率13.0%,難易度6位/9ホール中 平均スコア5.45 平均パット数1.94 パーオン率21.0% フェアウェイ率46.8% OB率46.8% バンカー率13.0%,難易度8位/9ホール中 平均スコア5.34 平均パット数1.86 パーオン率15.8% フェアウェイ率48.5% OB率32.5% バンカー率20.0%,難易度8位/9ホール中 平均スコア5.34 平均パット数1.86 パーオン率15.8% フェアウェイ率48.5% OB率32.5% バンカー率20.0%,難易度8位/9ホール中 平均スコア5.34 平均パット数1.86 パーオン率15.8% フェアウェイ率48.5% OB率32.5% バンカー率20.0%,難易度9位/9ホール中 平均スコア4.01 平均パット数1.99 パーオン率30.0% フェアウェイ率- OB率27.8% バンカー率8.7%,難易度9位/9ホール中 平均スコア4.01 平均パット数1.99 パーオン率30.0% フェアウェイ率- OB率27.8% バンカー率8.7%,難易度9位/9ホール中 平均スコア4.01 平均パット数1.99 パーオン率30.0% フェアウェイ率- OB率27.8% バンカー率8.7%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：477yd,Hdcp：4,PAR：4,Reg.：312yd,Hdcp：8,PAR：5,Reg.：615yd,Hdcp：1
5,ティーショットの落ちる所には３つの池が有る,ティーショットの落ちる所には３つの池が有る,ティーショットの落ちる所には３つの池が有る,フラットで短いミドルホール,フラットで短いミドルホール,フラットで短いミドルホール,右ドッグレッグのロング　奥がＬ（左）グリーン,右ドッグレッグのロング　奥がＬ（左）グリーン,右ドッグレッグのロング　奥がＬ（左）グリーン
6,難易度3位/9ホール中 平均スコア6.51 平均パット数1.92 パーオン率18.8% フェアウェイ率53.3% OB率42.8% バンカー率16.8%,難易度3位/9ホール中 平均スコア6.51 平均パット数1.92 パーオン率18.8% フェアウェイ率53.3% OB率42.8% バンカー率16.8%,難易度3位/9ホール中 平均スコア6.51 平均パット数1.92 パーオン率18.8% フェアウェイ率53.3% OB率42.8% バンカー率16.8%,難易度5位/9ホール中 平均スコア5.48 平均パット数1.94 パーオン率17.3% フェアウェイ率59.0% OB率36.5% バンカー率24.0%,難易度5位/9ホール中 平均スコア5.48 平均パット数1.94 パーオン率17.3% フェアウェイ率59.0% OB率36.5% バンカー率24.0%,難易度5位/9ホール中 平均スコア5.48 平均パット数1.94 パーオン率17.3% フェアウェイ率59.0% OB率36.5% バンカー率24.0%,難易度1位/9ホール中 平均スコア6.84 平均パット数1.89 パーオン率8.3% フェアウェイ率43.8% OB率40.8% バンカー率9.8%,難易度1位/9ホール中 平均スコア6.84 平均パット数1.89 パーオン率8.3% フェアウェイ率43.8% OB率40.8% バンカー率9.8%,難易度1位/9ホール中 平均スコア6.84 平均パット数1.89 パーオン率8.3% フェアウェイ率43.8% OB率40.8% バンカー率9.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：369yd,Hdcp：2,PAR：4,Reg.：370yd,Hdcp：3,PAR：3,Reg.：184yd,Hdcp：6
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,フラットで長いショートホール,フラットで長いショートホール,フラットで長いショートホール
10,難易度4位/9ホール中 平均スコア5.55 平均パット数1.97 パーオン率14.0% フェアウェイ率54.0% OB率28.3% バンカー率1.5%,難易度4位/9ホール中 平均スコア5.55 平均パット数1.97 パーオン率14.0% フェアウェイ率54.0% OB率28.3% バンカー率1.5%,難易度4位/9ホール中 平均スコア5.55 平均パット数1.97 パーオン率14.0% フェアウェイ率54.0% OB率28.3% バンカー率1.5%,難易度2位/9ホール中 平均スコア5.64 平均パット数2.06 パーオン率11.3% フェアウェイ率54.5% OB率28.3% バンカー率1.5%,難易度2位/9ホール中 平均スコア5.64 平均パット数2.06 パーオン率11.3% フェアウェイ率54.5% OB率28.3% バンカー率1.5%,難易度2位/9ホール中 平均スコア5.64 平均パット数2.06 パーオン率11.3% フェアウェイ率54.5% OB率28.3% バンカー率1.5%,難易度7位/9ホール中 平均スコア4.42 平均パット数1.99 パーオン率10.0% フェアウェイ率- OB率35.3% バンカー率12.3%,難易度7位/9ホール中 平均スコア4.42 平均パット数1.99 パーオン率10.0% フェアウェイ率- OB率35.3% バンカー率12.3%,難易度7位/9ホール中 平均スコア4.42 平均パット数1.99 パーオン率10.0% フェアウェイ率- OB率35.3% バンカー率12.3%
