,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：405yd,Hdcp：7,PAR：5,Reg.：484yd,Hdcp：3,PAR：4,Reg.：340yd,Hdcp：13
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,フェアウェイが広い緩い打ち上げ,フェアウェイが広い緩い打ち上げ,フェアウェイが広い緩い打ち上げ
2,難易度3位/18ホール中 平均スコア5.53 平均パット数2.01 パーオン率12.0% フェアウェイ率50.5% OB率17.0% バンカー率29.0%,難易度3位/18ホール中 平均スコア5.53 平均パット数2.01 パーオン率12.0% フェアウェイ率50.5% OB率17.0% バンカー率29.0%,難易度3位/18ホール中 平均スコア5.53 平均パット数2.01 パーオン率12.0% フェアウェイ率50.5% OB率17.0% バンカー率29.0%,難易度9位/18ホール中 平均スコア6.3 平均パット数2.01 パーオン率30.3% フェアウェイ率48.3% OB率20.8% バンカー率33.8%,難易度9位/18ホール中 平均スコア6.3 平均パット数2.01 パーオン率30.3% フェアウェイ率48.3% OB率20.8% バンカー率33.8%,難易度9位/18ホール中 平均スコア6.3 平均パット数2.01 パーオン率30.3% フェアウェイ率48.3% OB率20.8% バンカー率33.8%,難易度12位/18ホール中 平均スコア5.21 平均パット数2.12 パーオン率29.3% フェアウェイ率69.3% OB率7.0% バンカー率23.5%,難易度12位/18ホール中 平均スコア5.21 平均パット数2.12 パーオン率29.3% フェアウェイ率69.3% OB率7.0% バンカー率23.5%,難易度12位/18ホール中 平均スコア5.21 平均パット数2.12 パーオン率29.3% フェアウェイ率69.3% OB率7.0% バンカー率23.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：209yd,Hdcp：1,PAR：4,Reg.：338yd,Hdcp：15,PAR：4,Reg.：364yd,Hdcp：11
5,長いショートホール,長いショートホール,長いショートホール,短いミドルホール,短いミドルホール,短いミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度15位/18ホール中 平均スコア4.03 平均パット数2.02 パーオン率26.0% フェアウェイ率- OB率2.7% バンカー率34.0%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.02 パーオン率26.0% フェアウェイ率- OB率2.7% バンカー率34.0%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.02 パーオン率26.0% フェアウェイ率- OB率2.7% バンカー率34.0%,難易度10位/18ホール中 平均スコア5.31 平均パット数2.05 パーオン率22.8% フェアウェイ率50.0% OB率13.3% バンカー率31.0%,難易度10位/18ホール中 平均スコア5.31 平均パット数2.05 パーオン率22.8% フェアウェイ率50.0% OB率13.3% バンカー率31.0%,難易度10位/18ホール中 平均スコア5.31 平均パット数2.05 パーオン率22.8% フェアウェイ率50.0% OB率13.3% バンカー率31.0%,難易度7位/18ホール中 平均スコア5.36 平均パット数2 パーオン率21.8% フェアウェイ率50.8% OB率29.8% バンカー率24.3%,難易度7位/18ホール中 平均スコア5.36 平均パット数2 パーオン率21.8% フェアウェイ率50.8% OB率29.8% バンカー率24.3%,難易度7位/18ホール中 平均スコア5.36 平均パット数2 パーオン率21.8% フェアウェイ率50.8% OB率29.8% バンカー率24.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：136yd,Hdcp：17,PAR：4,Reg.：394yd,Hdcp：5,PAR：5,Reg.：472yd,Hdcp：9
9,短いショートホール,短いショートホール,短いショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,谷越えのロングホール,谷越えのロングホール,谷越えのロングホール
10,難易度18位/18ホール中 平均スコア3.77 平均パット数1.99 パーオン率40.3% フェアウェイ率- OB率4.5% バンカー率22.3%,難易度18位/18ホール中 平均スコア3.77 平均パット数1.99 パーオン率40.3% フェアウェイ率- OB率4.5% バンカー率22.3%,難易度18位/18ホール中 平均スコア3.77 平均パット数1.99 パーオン率40.3% フェアウェイ率- OB率4.5% バンカー率22.3%,難易度2位/18ホール中 平均スコア5.6 平均パット数2.07 パーオン率13.8% フェアウェイ率54.0% OB率23.3% バンカー率28.5%,難易度2位/18ホール中 平均スコア5.6 平均パット数2.07 パーオン率13.8% フェアウェイ率54.0% OB率23.3% バンカー率28.5%,難易度2位/18ホール中 平均スコア5.6 平均パット数2.07 パーオン率13.8% フェアウェイ率54.0% OB率23.3% バンカー率28.5%,難易度17位/18ホール中 平均スコア5.89 平均パット数2.03 パーオン率46.0% フェアウェイ率57.3% OB率20.3% バンカー率30.3%,難易度17位/18ホール中 平均スコア5.89 平均パット数2.03 パーオン率46.0% フェアウェイ率57.3% OB率20.3% バンカー率30.3%,難易度17位/18ホール中 平均スコア5.89 平均パット数2.03 パーオン率46.0% フェアウェイ率57.3% OB率20.3% バンカー率30.3%
